front,back,tag,difficulty
SBAR,"Situation, Background, Assessment, Recommendation; structured handoff and escalation tool.",Safety/Framework,1
AIM,Alliance for Innovation on Maternal Health; source of national maternal safety bundles.,Safety/Framework,2
MEWS / MEOWS,Maternal Early Warning System; vital-sign triggers prompting rapid clinical review.,Safety/Framework,2
RRT,Rapid Response Team; summoned when early-warning criteria are met.,Safety/Framework,1
QBL,"Quantitative Blood Loss; weighed measurement, QI-preferred over visual estimation.",Safety/Framework,2
APH,"Antepartum Hemorrhage; any bleeding before birth, always evaluate before vaginal exam.",Bleeding/Hemorrhage,2
PPH,"Postpartum Hemorrhage; ≥1,000 mL cumulative loss or loss with hypovolemia within 24 h.",Bleeding/Hemorrhage,2
EPL,Early Pregnancy Loss; nonviable intrauterine pregnancy before 13 0/7 weeks.,Bleeding/Hemorrhage,2
Ectopic pregnancy,"Implantation outside the uterus; unilateral pain and bleeding, risk of rupture and shock.",Bleeding/Hemorrhage,2
GTD / molar,"Gestational Trophoblastic Disease; grape-like villi, very high hCG, needs hCG follow-up.",Bleeding/Hemorrhage,2
Placenta previa,"Placenta covering the internal os; painless bright-red bleeding, no digital exam.",Bleeding/Hemorrhage,3
PAS,"Placenta Accreta Spectrum; abnormal invasion (accreta/increta/percreta), major hemorrhage risk.",Bleeding/Hemorrhage,3
Vasa previa,"Fetal vessels crossing the os; rupture causes fetal exsanguination, not maternal.",Bleeding/Hemorrhage,3
Abruptio placentae,"Premature separation of a normal placenta; painful dark bleeding, rigid tender uterus.",Bleeding/Hemorrhage,3
DIC,"Disseminated Intravascular Coagulation; consumptive clotting then bleeding, oozing from sites.",Bleeding/Hemorrhage,3
TXA,Tranexamic acid; antifibrinolytic given within 3 hours for postpartum hemorrhage.,Bleeding/Hemorrhage,2
PRBC / FFP,Packed red cells / fresh frozen plasma; components of massive transfusion protocol.,Bleeding/Hemorrhage,2
IUFD,"Intrauterine Fetal Demise; fetal death before birth, confirmed by absent cardiac activity.",Bleeding/Hemorrhage,2
HDP,Hypertensive Disorders of Pregnancy; spectrum from gHTN to preeclampsia and HELLP.,Hypertension,1
gHTN,Gestational Hypertension; new hypertension after 20 weeks without proteinuria or severe features.,Hypertension,2
cHTN,Chronic Hypertension; hypertension before pregnancy or before 20 weeks.,Hypertension,2
Preeclampsia,New hypertension after 20 weeks with proteinuria or end-organ signs.,Hypertension,2
Preeclampsia w/ severe features,"Severe BP, thrombocytopenia, renal/liver involvement, pulmonary edema, or CNS symptoms.",Hypertension,3
HELLP,"Hemolysis, Elevated Liver enzymes, Low Platelets; a severe preeclampsia variant.",Hypertension,3
LDH,Lactate dehydrogenase; elevated with the hemolysis of HELLP.,Hypertension,2
AST / ALT,Liver transaminases; elevation signals hepatic involvement in HELLP or severe preeclampsia.,Hypertension,2
P:C ratio,Urine protein-to-creatinine ratio; quantifies proteinuria without a 24-hour collection.,Hypertension,2
DTR,Deep Tendon Reflexes; monitored on magnesium — loss signals rising toxicity.,Hypertension,2
MgSO₄,"Magnesium sulfate; seizure prophylaxis in preeclampsia, not an antihypertensive.",Hypertension,3
